,open,high,low,close,volume,date
0,226.5,226.5,219,219.5,32900482,2019/1/2
1,214,218,214,215.5,34615620,2019/1/3
2,211.5,211.5,206.5,208,67043521,2019/1/4
3,212,214,211,213,35695176,2019/1/7
4,212,212.5,210,211,23794481,2019/1/8
5,212,216.5,211,215.5,51255446,2019/1/9
6,216,216.5,214.5,216,20832593,2019/1/10
7,219,220.5,218,220.5,28658288,2019/1/11
8,218.5,220,217,218.5,17612296,2019/1/14
9,216.5,221,215.5,221,42990923,2019/1/15
10,218.5,220,217.5,217.5,30038282,2019/1/16
11,218,221,218,220.5,21163986,2019/1/17
12,219,220,217.5,218.5,52677569,2019/1/18
13,220,223,220,221,32515866,2019/1/21
14,220,223,219,223,30958483,2019/1/22
15,221.5,222,220,220.5,18671213,2019/1/23
16,222.5,222.5,220.5,222.5,31348924,2019/1/24
17,226.5,227,225,226,48039764,2019/1/25
18,229.5,229.5,228,229,29134257,2019/1/28
19,222.5,225,222,222.5,42566520,2019/1/29
20,220.5,221.5,220,221,51889945,2019/1/30
21,228,229,226.5,228,81360106,2019/2/11
22,230,230,229,230,30125670,2019/2/12
23,232,232,228.5,229,28634925,2019/2/13
24,229.5,230,226,227,23647751,2019/2/14
25,229,229,226.5,227,22369799,2019/2/15
26,229,230.5,228.5,230,18163916,2019/2/18
27,230,230.5,229,229,18423023,2019/2/19
28,231.5,234.5,231,234.5,31887710,2019/2/20
29,235.5,236.5,234.5,236.5,34013489,2019/2/21
30,235.5,236.5,234,236.5,22032163,2019/2/22
31,237.5,239,236,238,25227138,2019/2/25
32,239,240,236.5,239.5,24586789,2019/2/26
33,238.5,239.5,237,239,37947889,2019/2/27
34,239.5,239.5,234.5,235.5,45164513,2019/3/4
35,234,234.5,232.5,233,23708407,2019/3/5
36,235,235.5,233.5,234,20811226,2019/3/6
37,235,235,233,234,17226192,2019/3/7
38,231,231.5,229,230,22535659,2019/3/8
39,228,230.5,227.5,230.5,34282793,2019/3/11
40,233,237,232.5,235.5,23839972,2019/3/12
41,234,237,234,237,22493195,2019/3/13
42,239,239,234,234.5,17281356,2019/3/14
43,237,239.5,235.5,239,34542729,2019/3/15
44,239.5,241,239,241,27040532,2019/3/18
45,239,240.5,238,240.5,14620009,2019/3/19
46,242,242,239.5,242,23055971,2019/3/20
47,242.5,245.5,241,245.5,27514502,2019/3/21
48,248,248.5,244.5,248.5,22996467,2019/3/22
49,240.5,243.5,240.5,241.5,19273254,2019/3/25
50,243,244,241,244,21053170,2019/3/26
51,242,242.5,240.5,241.5,23622089,2019/3/27
52,240.5,242.5,240,242,13998054,2019/3/28
53,243,245.5,240.5,245.5,31024810,2019/3/29
54,251,251,245,245.5,35330656,2019/4/1
55,249.5,249.5,246,246,25189053,2019/4/2
56,249,249,246.5,246.5,28581323,2019/4/3
57,251,253,250.5,253,46426821,2019/4/8
58,253,254,252,254,22745674,2019/4/9
59,253,254.5,252,254,33174934,2019/4/10
60,253,254,251.5,252,25146840,2019/4/11
61,251.5,253,251,252,13888148,2019/4/12
62,255,256,254,255.5,17257002,2019/4/15
63,257,257,255.5,257,20231648,2019/4/16
64,260,263,259.5,261.5,39037191,2019/4/17
65,264,266,263.5,264.5,48525490,2019/4/18
66,269,269.5,263.5,264.5,47698699,2019/4/19
67,266.5,267.5,265,266,24967393,2019/4/22
68,266.5,268,266,268,26251847,2019/4/23
69,270,270,267.5,269,37386755,2019/4/24
70,268.5,269,267,267.5,36572455,2019/4/25
71,262,263,257.5,260,51743804,2019/4/26
72,260,262,258.5,259.5,32651618,2019/4/29
73,260,260.5,258,259,40446419,2019/4/30
74,261.5,262.5,258.5,259,27376394,2019/5/2
75,262,265,260.5,265,30200246,2019/5/3
76,260,260,258,259,33688187,2019/5/6
77,259.5,263,259,262.5,25686126,2019/5/7
78,260,261.5,259.5,260,25902364,2019/5/8
79,259.5,259.5,256,256.5,34166574,2019/5/9
80,257,259,255,256,18868212,2019/5/10
81,253,254,249.5,250.5,29317535,2019/5/13
82,247.5,251,245,248.5,45620708,2019/5/14
83,251,252,249,249,37223479,2019/5/15
84,248.5,249.5,246,247,30331519,2019/5/16
